created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-01-20 12:01:29 UTC,5171,99465,100800,111.5,0,111,0,4.202,24
2018-01-20 12:01:50 UTC,5172,99465,100800,112.5,0,119,0,4.205,45
2018-01-20 12:02:20 UTC,5173,99436,100800,115.5,3.1,116,0,4.202,73
2018-01-20 12:02:41 UTC,5174,99354,100800,122.3,10,127,0,4.204,96
2018-01-20 12:03:00 UTC,5175,99285,100800,127.5,15.2,144,0,4.205,116
2018-01-20 12:03:34 UTC,5176,99184,100800,136,23.6,149,0,4.204,148
2018-01-20 12:03:55 UTC,5177,99134,100800,140.9,28.5,155,0,4.205,170
2018-01-20 12:04:24 UTC,5178,99059,100800,147.2,33.5,157,0,4.201,197
2018-01-20 12:04:51 UTC,5179,98964,100800,154.5,41.3,155,0,4.199,227
2018-01-20 12:05:16 UTC,5180,98898,100800,160.7,48.4,158,0,4.202,248
2018-01-20 12:05:42 UTC,5181,98812,100800,168,55.6,162,0,4.199,278
2018-01-20 12:06:09 UTC,5182,98735,100800,173.7,60.6,164,0,4.202,304
2018-01-20 12:06:36 UTC,5183,98665,100800,180.7,68.4,162,0,4.199,331
2018-01-20 12:07:03 UTC,5184,98582,100800,187.2,74.9,160,0,4.199,358
2018-01-20 12:07:29 UTC,5185,98526,100800,192.5,80.2,162,0,4.199,384
2018-01-20 12:07:55 UTC,5186,98426,100800,200.7,88.4,161,0,4.196,410
2018-01-20 12:08:21 UTC,5187,98357,100800,206.4,92.6,165,0,4.199,437
2018-01-20 12:08:43 UTC,5188,98293,100800,212,99.7,161,0,4.199,458
2018-01-20 12:09:09 UTC,5189,98216,100800,218.2,105.9,165,0,4.198,485
2018-01-20 12:09:31 UTC,5190,98156,100800,223.1,109.4,165,0,4.198,506
2018-01-20 12:09:52 UTC,5191,98110,100800,227.7,113.9,166,0,4.193,527
2018-01-20 12:10:14 UTC,5192,98049,100800,232.8,120.5,166,0,4.193,550
2018-01-20 12:10:35 UTC,5193,97991,100800,237.6,125.3,166,0,4.192,571
2018-01-20 12:10:56 UTC,5194,97936,100800,242.9,130.6,163,0,4.193,592
2018-01-20 12:11:18 UTC,5195,97893,100800,246.3,133,164,0,4.199,613
2018-01-20 12:11:39 UTC,5196,97895,100800,245.8,133,167,0,4.193,634
2018-01-20 12:12:09 UTC,5197,97896,100800,246,133,156,0,4.192,665
2018-01-20 12:12:31 UTC,5198,97894,100800,246.3,133,138,0,4.192,687
2018-01-20 12:12:52 UTC,5199,97892,100800,246.4,133,131,0,4.192,708
2018-01-20 12:13:19 UTC,5200,97897,100800,246.2,133,131,0,4.193,735
2018-01-20 12:13:40 UTC,5201,97894,100800,245.6,133,123,0,4.192,756
2018-01-20 12:14:08 UTC,5202,97907,100800,245.1,133,129,0,4.19,784
2018-01-20 12:14:30 UTC,5203,97921,100800,244.2,133,128,0,4.19,806
2018-01-20 12:14:50 UTC,5204,97929,100800,243.5,133,131,-1.8,4.19,826
2018-01-20 12:15:16 UTC,5205,97933,100800,242.2,133,123,-1.8,4.187,853
2018-01-20 12:15:44 UTC,5206,97929,100800,243,133,116,-1.8,4.193,879
2018-01-20 12:16:11 UTC,5207,97931,100800,242.5,133,124,-1.8,4.19,907
2018-01-20 12:16:37 UTC,5208,97933,100800,242.9,133,122,-1.8,4.187,933
2018-01-20 12:16:58 UTC,5209,97930,100800,243.2,133,123,-1.8,4.187,954
2018-01-20 12:17:25 UTC,5210,97936,100800,243,133,122,-1.8,4.187,981
2018-01-20 12:17:46 UTC,5211,97929,100800,242.1,133,117,-1.8,4.187,1002
2018-01-20 12:18:15 UTC,5212,97934,100800,242.3,133,118,-1.8,4.187,1031
2018-01-20 12:18:36 UTC,5213,97927,100800,242.9,133,117,-1.8,4.184,1052
2018-01-20 12:18:58 UTC,5214,97930,100800,243,133,117,-1.8,4.184,1074
2018-01-20 12:19:25 UTC,5215,97934,100800,242.5,133,116,-1.8,4.187,1101
2018-01-20 12:19:52 UTC,5216,98467,100800,197.2,133,112,-48.1,4.187,1128
2018-01-20 12:20:13 UTC,5217,99074,100800,145.5,133,110,-99.9,4.185,1149
2018-01-20 12:20:36 UTC,5218,99461,100800,113.3,133,120,-132.1,4.184,1170
2018-01-20 12:21:02 UTC,5219,99451,100800,114.4,133,120,-132.1,4.184,1198
2018-01-20 12:21:28 UTC,5220,99358,100800,121.6,139.9,132,-132.1,4.185,1224
2018-01-20 12:21:49 UTC,5221,99289,100800,127.2,147,146,-132.1,4.181,1245
2018-01-20 12:22:10 UTC,5222,99234,100800,132.2,152,156,-132.1,4.187,1266
2018-01-20 12:22:37 UTC,5223,99160,100800,138.4,156.9,158,-132.1,4.185,1293
2018-01-20 12:23:09 UTC,5224,99064,100800,146.7,166.5,158,-132.1,4.185,1325
2018-01-20 12:23:31 UTC,5225,99000,100800,151.7,171.5,158,-132.1,4.181,1347
2018-01-20 12:23:52 UTC,5226,98949,100800,155.9,175.6,160,-132.1,4.187,1368
2018-01-20 12:24:19 UTC,5227,98867,100800,162.6,181.3,162,-132.1,4.187,1395
2018-01-20 12:24:45 UTC,5228,98785,100800,170.4,190.1,163,-132.1,4.184,1422
2018-01-20 12:25:06 UTC,5229,98733,100800,174.4,192.8,164,-132.1,4.184,1443
2018-01-20 12:25:27 UTC,5230,98679,100800,179.5,199.2,164,-132.1,4.182,1464
2018-01-20 12:25:48 UTC,5231,98614,100800,184.8,204.6,165,-132.1,4.182,1485
2018-01-20 12:26:15 UTC,5232,98542,100800,191.3,211,166,-132.1,4.184,1512
2018-01-20 12:26:36 UTC,5233,98477,100800,196.4,216.1,170,-132.1,4.181,1533
2018-01-20 12:26:58 UTC,5234,98411,100800,202.3,222,173,-132.1,4.182,1554
2018-01-20 12:27:28 UTC,5235,98328,100800,209.1,227.4,174,-132.1,4.182,1585
2018-01-20 12:27:50 UTC,5236,98268,100800,213.9,233.6,172,-132.1,4.182,1607
2018-01-20 12:28:11 UTC,5237,98206,100800,219.1,238.9,172,-132.1,4.181,1628
2018-01-20 12:28:38 UTC,5238,98145,100800,225.3,243.7,171,-132.1,4.182,1655
2018-01-20 12:29:05 UTC,5239,98072,100800,231.2,250.9,172,-132.1,4.182,1682
2018-01-20 12:29:26 UTC,5240,98010,100800,235.6,255.4,171,-132.1,4.181,1704
2018-01-20 12:29:47 UTC,5241,97957,100800,240.3,260.1,171,-132.1,4.181,1724
2018-01-20 12:30:08 UTC,5242,97904,100800,245.9,265.6,173,-132.1,4.181,1745
2018-01-20 12:30:38 UTC,5243,97874,100800,247.7,267.4,172,-132.1,4.178,1772
2018-01-20 12:31:04 UTC,5244,97884,100800,247.1,267.4,163,-132.1,4.181,1801
2018-01-20 12:31:25 UTC,5245,97884,100800,247.5,267.4,150,-132.1,4.181,1822
2018-01-20 12:31:50 UTC,5246,97888,100800,247.2,267.4,139,-132.1,4.178,1847
2018-01-20 12:32:11 UTC,5247,97878,100800,247.4,267.4,138,-132.1,4.181,1868
2018-01-20 12:32:32 UTC,5248,97874,100800,247.7,267.4,130,-132.1,4.181,1889
2018-01-20 12:32:53 UTC,5249,97876,100800,247.5,267.4,131,-132.1,4.178,1910
2018-01-20 12:33:19 UTC,5250,97878,100800,248.3,267.4,131,-132.1,4.179,1936
2018-01-20 12:33:41 UTC,5251,97879,100800,246.9,267.4,125,-132.1,4.181,1957
2018-01-20 12:34:09 UTC,5252,97882,100800,247.7,267.4,125,-132.1,4.181,1986
2018-01-20 12:34:35 UTC,5253,97887,100800,246.9,267.4,120,-132.1,4.179,2012
2018-01-20 12:34:56 UTC,5254,97886,100800,246.9,267.4,125,-132.1,4.175,2033
2018-01-20 12:35:23 UTC,5255,97889,100800,246.9,267.4,127,-132.1,4.175,2061
2018-01-20 12:35:49 UTC,5256,97887,100800,247.3,267.4,115,-132.1,4.182,2086
2018-01-20 12:36:10 UTC,5257,97883,100800,247.5,267.4,124,-132.1,4.175,2107
2018-01-20 12:36:31 UTC,5258,97908,100800,244.9,267.4,125,-133.9,4.175,2128
2018-01-20 12:36:53 UTC,5259,97904,100800,244.7,267.4,123,-133.9,4.179,2149
2018-01-20 12:37:20 UTC,5260,97907,100800,244.9,267.4,122,-133.9,4.175,2177
2018-01-20 12:37:47 UTC,5261,97909,100800,244.8,267.4,124,-133.9,4.181,2204
2018-01-20 12:38:15 UTC,5262,97921,100800,244.1,267.4,115,-135.7,4.168,2232
2018-01-20 12:38:39 UTC,5263,97908,100800,245.1,267.4,123,-135.7,4.175,2257
2018-01-20 12:39:00 UTC,5264,97913,100800,244.6,267.4,122,-135.7,4.168,2278
2018-01-20 12:39:22 UTC,5265,97912,100800,244.6,267.4,121,-135.7,4.168,2299
2018-01-20 12:39:43 UTC,5266,97912,100800,244.5,267.4,116,-135.7,4.165,2320
2018-01-20 12:40:05 UTC,5267,97918,100800,244,267.4,118,-135.7,4.168,2341
2018-01-20 12:40:31 UTC,5268,97902,100800,244.9,267.4,109,-135.7,4.173,2368
2018-01-20 12:40:57 UTC,5269,97904,100800,244.5,267.4,116,-135.7,4.168,2394
2018-01-20 12:41:44 UTC,5270,97909,100800,244.9,267.4,121,-135.7,4.173,2442
2018-01-20 12:42:15 UTC,5271,97911,100800,244.3,267.4,114,-135.7,4.168,2469
2018-01-20 12:42:36 UTC,5272,97907,100800,244.9,267.4,109,-135.7,4.161,2494
2018-01-20 12:43:08 UTC,5273,98765,100800,171.3,267.4,109,-208.5,4.168,2526
2018-01-20 12:43:37 UTC,5274,99423,100800,114.9,267.4,118,-264.8,4.171,2552
2018-01-20 12:44:03 UTC,5275,99443,100800,114.4,267.4,110,-264.8,4.171,2580
2018-01-20 12:44:24 UTC,5276,99438,100800,114.8,267.4,96,-264.8,4.165,2602
2018-01-20 12:44:45 UTC,5277,99441,100800,114.4,267.4,142,-264.8,4.168,2623
2018-01-20 12:45:17 UTC,5278,99411,100800,117.2,269.6,103,-264.8,4.173,2655
2018-01-20 12:45:39 UTC,5279,99330,100800,123.5,276,134,-264.8,4.165,2677
2018-01-20 12:46:02 UTC,5280,99280,100800,128.2,280.7,149,-264.8,4.165,2698
